username,repo_name,stars,repo_url
realm,SwiftLint,18200,https://github.com/realm/SwiftLint
facebook,infer,14600,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,12600,https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,10400,https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,9400,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9100,https://github.com/super-linter/super-linter
SonarSource,sonarqube,8400,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8100,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7200,https://github.com/reviewdog/reviewdog
facebook,pyre-check,6600,https://github.com/facebook/pyre-check
detekt,detekt,6000,https://github.com/detekt/detekt
import-js,eslint-plugin-import,5200,https://github.com/import-js/eslint-plugin-import
trekhleb,state-of-the-art-shitcode,5200,https://github.com/trekhleb/state-of-the-art-shitcode
pylint-dev,pylint,5100,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4600,https://github.com/pmd/pmd
kucherenko,jscpd,4400,https://github.com/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3000,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/codeclimate/codeclimate
