username,repo_name,stars,repo_url
flutter,flutter,160000,https://github.com/flutter/flutter
facebook,react-native,115000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,108000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,98900,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,75300,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,50500,https://github.com/Solido/awesome-flutter
google,material-design-icons,49500,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,48700,https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,47700,https://github.com/tldr-pages/tldr
square,okhttp,45100,https://github.com/square/okhttp
android,architecture-samples,43700,https://github.com/android/architecture-samples
square,retrofit,42500,https://github.com/square/retrofit
laurent22,joplin,41400,https://github.com/laurent22/joplin
appwrite,appwrite,39600,https://github.com/appwrite/appwrite
dcloudio,uni-app,39200,https://github.com/dcloudio/uni-app
fastlane,fastlane,38500,https://github.com/fastlane/fastlane
skylot,jadx,38300,https://github.com/skylot/jadx
PhilJay,MPAndroidChart,37100,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34600,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34600,https://github.com/airbnb/lottie-android
