username,repo_name,stars,repo_url
bregman-arie,devops-exercises,62300,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,25100,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,19200,https://github.com/pulumi/pulumi
recommenders-team,recommenders,17600,https://github.com/recommenders-team/recommenders
ramitsurana,awesome-kubernetes,14600,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14800,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13600,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,11900,https://github.com/caprover/caprover
infracost,infracost,10100,https://github.com/infracost/infracost
google,go-cloud,9300,https://github.com/google/go-cloud
microsoft,computervision-recipes,9300,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,9200,https://github.com/prowler-cloud/prowler
danny-avila,LibreChat,8200,https://github.com/danny-avila/LibreChat
milanm,DevOps-Roadmap,7800,https://github.com/milanm/DevOps-Roadmap
Netflix,metaflow,7400,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7400,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7100,https://github.com/midwayjs/midway
node-formidable,formidable,6900,https://github.com/node-formidable/formidable
budtmo,docker-android,6900,https://github.com/budtmo/docker-android
thangchung,clean-code-dotnet,6700,https://github.com/thangchung/clean-code-dotnet
