username,repo_name,stars,repo_url
ccxt,ccxt,30500,https://github.com/ccxt/ccxt
discordjs,discord.js,24600,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,24300,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,18400,https://github.com/wechaty/wechaty
RasaHQ,rasa,17600,https://github.com/RasaHQ/rasa
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,16200,https://github.com/InstaPy/InstaPy
leon-ai,leon,14300,https://github.com/leon-ai/leon
Rapptz,discord.py,14100,https://github.com/Rapptz/discord.py
gunthercox,ChatterBot,13800,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,13800,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,13000,https://github.com/pedroslopez/whatsapp-web.js
lss233,chatgpt-mirai-qq-bot,11400,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11300,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10100,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9800,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,7800,https://github.com/yagop/node-telegram-bot-api
microsoft,ailab,7600,https://github.com/microsoft/ailab
telegraf,telegraf,7400,https://github.com/telegraf/telegraf
microsoft,botframework-sdk,7300,https://github.com/microsoft/botframework-sdk
